Vendor,Document,Waybill,Shop Address,Amount,Date,Status
Kulyab,TJ-KT,SR-SI,0279 Pepper Wood Plaza,2293,3/12/2023,236
Natitingou,BJ-AK,PT-30,4116 Hazelcrest Avenue,1512,5/17/2022,341
,PG-MPL,US-TX,522 Fairfield Terrace,5750,1/17/2023,542
San Cristobal de las Casas,MX-CHP,US-AK,3549 Randy Road,7707,2/4/2023,15
Anggi-Papua Island,ID-PB,MY-08,810 Clarendon Parkway,6644,11/20/2022,25
Luleå,SE-BD,MV-29,57466 Shoshone Terrace,65,9/13/2022,17
Merdei-Papua Island,ID-PB,PG-MRL,899 Merrick Lane,425,4/23/2023,16
Espargos,CV-B,AU-SA,4619 Dakota Point,177,10/6/2022,76
Kandrian,PG-WBK,NC-U-A,1880 Pepper Wood Avenue,280,8/16/2022,141
Farnborough,GB-ENG,US-TX,9 Londonderry Park,238,9/2/2022,677
Tabatinga,BR-AM,US-MN,046 Doe Crossing Court,279,6/3/2022,1397
,TH-54,US-WA,3651 Colorado Plaza,538,10/12/2022,433
Columbia,US-SC,NA-KE,223 Bashford Drive,193,11/24/2022,3314
Tacheng,CN-65,US-TN,75 Kensington Junction,,2/12/2023,1608
Ithaca,US-NY,AU-NSW,0948 Milwaukee Road,1099,8/27/2022,21
Iranshahr,IR-13,CU-04,3478 Lukken Parkway,2040,9/2/2022,210
Kingfisher Lake,CA-ON,PG-ESW,9 Oak Road,866,9/27/2022,466
Kattiniq,CA-QC,CN-37,21536 Miller Alley,1902,9/23/2022,134
Venice,IT-34,BD-4,370 Warrior Pass,7,2/4/2023,20
Sumter,US-SC,CA-BC,299 Calypso Junction,182,10/31/2022,116
El Aaiún,EH-U-A,GN-B,0 Holmberg Alley,207,6/29/2022,499
Kupang-Timor Island,ID-NT,US-AK,86 Hanson Drive,335,8/21/2022,16
Makin Island,KI-G,US-OR,1 Pond Point,,7/10/2022,39
Faro,PT-08,AU-VIC,00 New Castle Alley,24,7/26/2022,165
Chigorodó,CO-ANT,US-AK,88 Morrow Pass,110,10/1/2022,1291
Gachsaran,IR-18,US-AK,22 Moland Center,2414,1/8/2023,215
Båtsfjord,NO-20,AR-B,18738 Kingsford Crossing,490,2/19/2023,551
Kunashir Island,RU-SAK,MM-11,40373 Pennsylvania Avenue,584,11/3/2022,475
George,ZA-WC,PG-EHG,0758 Mccormick Crossing,648,2/1/2023,6050
Puas Mission,PG-NIK,MZ-A,92485 Sage Alley,45,8/9/2022,1919
Alton/St Louis,US-IL,AU-QLD,9462 5th Way,544,11/9/2022,657
Ranai-Natuna Besar Island,ID-RI,CN-36,0 Bluejay Road,7,9/5/2022,340
Maseru,LS-A,EC-L,57243 Thackeray Lane,5348,6/15/2022,4056
Bossier City,US-LA,CO-ARA,60 Luster Way,166,5/28/2022,512
Zanjan,IR-11,AU-NT,0 Helena Lane,5382,11/8/2022,
Santarém,BR-PA,UY-CA,82103 Corry Point,440,1/31/2023,105
Allentown,US-PA,MX-OAX,7402 Forest Dale Terrace,393,6/24/2022,464
O'Neill,US-NE,BR-GO,9 Ramsey Park,2031,4/8/2023,2756
,JP-47,US-AK,7 Dapin Junction,70,2/22/2023,25
Ruby,US-AK,BR-CE,75 Artisan Street,658,3/26/2023,1392
Manistee,US-MI,BR-AC,93092 Sutteridge Center,621,8/26/2022,646
Magdalena,BO-B,ZA-NL,2 Green Ridge Lane,462,9/8/2022,4074
Anatom Island,VU-TAE,CN-53,5614 Cardinal Avenue,7,2/16/2023,6903
Bandar Lengeh,IR-23,US-TX,4478 Park Meadow Parkway,67,10/24/2022,2430
Sapporo,JP-01,AR-C,368 American Ash Lane,25,5/7/2022,18
Chimbote,PE-ANC,US-FL,343 Heffernan Crossing,69,4/17/2023,10
Anyang,CN-41,ID-NT,724 Dixon Pass,,1/8/2023,115
Paro,BT-11,BR-AC,4 Sheridan Avenue,7332,4/14/2023,637
,AU-QLD,IN-GJ,3 Waywood Terrace,15,8/28/2022,189
Shaoyang,CN-43,IN-RJ,74 Maple Wood Point,1444,7/28/2022,1684
Ube,JP-35,KE-400,0 Sunfield Circle,23,8/3/2022,4395
Milan,IT-25,PR-U-A,773 American Ash Point,353,11/13/2022,100
Linga Linga,PG-WBK,US-MA,92983 Di Loreto Plaza,17,9/19/2022,80
Lindeman Island,AU-QLD,OM-MU,174 Beilfuss Hill,,1/31/2023,100
Titusville,US-FL,CO-VAC,1 Monterey Junction,34,11/17/2022,48
,AU-QLD,BR-SC,28103 Cordelia Street,955,5/23/2022,3065
Tarawa,KI-G,AF-FRA,7 Pankratz Center,9,12/20/2022,3773
San Ignacio de Velasco,BO-S,PG-SAN,702 Pawling Center,1354,10/19/2022,2500
Badajoz,ES-EX,GF-CY,810 Graceland Circle,609,12/19/2022,46
,DE-NW,ID-NT,13849 Mccormick Parkway,424,1/4/2023,3510
Preston,CU-11,US-CA,614 Messerschmidt Park,13,4/4/2023,4124
Yancheng,CN-32,AU-NSW,970 Pearson Junction,,1/12/2023,584
Columbus,US-IN,US-AK,4 Huxley Avenue,656,4/23/2023,67
Nápoli,IT-72,US-IN,3 Roxbury Way,294,3/19/2023,895
,DE-NW,DZ-08,72 Buell Point,296,2/11/2023,2661
Matupá,BR-MT,CA-NU,7 Tennyson Pass,886,1/19/2023,90
Hervey Bay,AU-QLD,FR-M,700 Portage Point,60,2/17/2023,629
Manja,MG-U,JP-06,53602 Rutledge Pass,787,12/31/2022,86
Chongqing,CN-50,CN-15,44471 Badeau Street,1365,3/8/2023,
Ji'an,CN-36,BR-RS,82 Red Cloud Way,281,10/3/2022,472
Nightmute,US-AK,US-NY,556 8th Hill,4,9/15/2022,10
Granville,FR-P,US-AR,351 Knutson Terrace,45,11/10/2022,224
Agen/La Garenne,FR-B,TL-BA,8897 Saint Paul Street,204,9/6/2022,1771
Atar,MR-07,US-FL,68569 Old Gate Park,734,8/3/2022,20
Yichang,CN-42,KE-900,9 Truax Crossing,673,3/30/2023,4163
Ghadames,LY-NL,US-FL,414 Buena Vista Street,1122,9/30/2022,37
Paris,FR-J,EC-C,57 Pine View Trail,291,8/29/2022,9649
Jember,ID-JI,JP-17,376 Huxley Alley,281,4/9/2023,718
Tbeng Meanchey,KH-13,CU-07,68 Petterle Junction,350,9/15/2022,13
Surgut,RU-KHM,RU-ROS,9 Buena Vista Center,200,11/21/2022,280
St-Augustin,CA-QC,US-CO,01 Thompson Terrace,20,3/16/2023,9070
Pagosa Springs,US-CO,FI-LS,24 Walton Park,7664,11/20/2022,19
Tamarindo,CR-G,AU-WA,66 Forest Street,41,1/19/2023,
Detroit Lakes,US-MN,EG-SHG,82 Bluestem Point,1397,3/20/2023,310
Greenwood,US-SC,US-GA,9 Jana Center,631,4/4/2023,232
Westfield/Springfield,US-MA,CO-ANT,6 Kim Street,271,7/16/2022,2184
Ada,US-OK,CN-23,07 Maple Wood Plaza,1016,4/2/2023,760
Tatau Island,PG-NIK,AR-Z,54584 Elgar Crossing,40,4/12/2023,364
Fort Huachuca Sierra Vista,US-AZ,TL-BA,5 Veith Circle,4719,1/25/2023,1771
Rewa,IN-MP,JP-13,40215 Hintze Junction,1000,4/2/2023,205
Sélibaby,MR-10,CA-BC,210 Mendota Alley,219,3/3/2023,25
Conakry,GN-C,CA-MB,305 Sullivan Hill,72,7/4/2022,621
Koutiala,ML-3,CA-NU,7 Valley Edge Drive,1240,5/12/2022,59
Coldfoot,US-AK,AU-NSW,7898 Pawling Lane,1042,1/5/2023,540
Cooper Landing,US-AK,US-MI,09 Pearson Crossing,450,3/2/2023,603
Malabo,GQ-BN,US-AK,6632 Park Meadow Court,76,5/26/2022,155
Fort Mackay,CA-AB,US-OK,174 Magdeline Point,916,10/13/2022,1922
Goodland,US-KS,JP-27,4770 Crownhardt Plaza,3656,10/16/2022,26
Deering,US-AK,US-IL,031 Scoville Point,21,10/26/2022,590
Angelsey,GB-WLS,FI-IS,3263 Carioca Trail,37,9/19/2022,311
Popayán,CO-CAU,AU-QLD,2 Aberg Pass,5687,12/19/2022,158
Osaka,JP-27,US-CA,571 Clemons Parkway,26,1/1/2023,7135
Atmautluak,US-AK,BR-SE,26033 Starling Lane,17,8/5/2022,23
Assiut,EG-WAD,CO-SAN,4 Marcy Park,772,8/3/2022,6377
Aurora,SR-SI,ID-SG,054 Doe Crossing Way,236,12/1/2022,164
Tamale,GH-NP,RO-CJ,76 Buell Parkway,553,3/8/2023,1036
Västervik,SE-H,US-MT,17905 Riverside Court,,6/6/2022,4245
State College,US-PA,US-FL,5686 Mendota Park,1239,1/1/2023,18
Cayo Santa Maria,CU-07,US-VA,4 Anhalt Circle,13,4/11/2023,329
Villa Claret,CO-CHO,LK-3,3 Corscot Place,148,6/6/2022,75
Yamoussoukro,CI-07,AU-NT,2 Derek Point,699,8/26/2022,91
Empangeni,ZA-NL,CA-NL,46311 High Crossing Circle,251,2/1/2023,30
Tuscaloosa,US-AL,US-NV,5307 International Drive,170,8/23/2022,3963
Attawapiskat,CA-ON,NO-18,43 Dapin Street,31,1/19/2023,56
Bengbu,CN-34,ET-GA,98038 Novick Place,100,3/18/2023,4396
Bradford,US-IL,SD-05,8298 Dexter Pass,808,10/12/2022,1480
Reivilo,ZA-NW,US-AK,8 Hoepker Avenue,4715,10/24/2022,305
Temple,US-TX,US-OK,78 Sycamore Point,682,2/22/2023,1167
Tarapaina,SB-ML,NU-U-A,976 Service Place,80,3/13/2023,209
Oradea,RO-BH,PG-WPD,483 Fieldstone Drive,465,7/22/2022,51
Cooperstown,US-NY,AU-NSW,80 Lawn Drive,1260,12/30/2022,85
Malanje,AO-MAL,CL-VS,1167 Blackbird Terrace,3868,10/25/2022,227
Kapit,MY-13,US-OR,28 Superior Junction,65,2/24/2023,31
Cascavel,BR-PR,LS-C,07343 Scoville Drive,2473,8/18/2022,7000
Tanjung Pandan-Belitung Island,ID-BB,US-MN,77221 Hooker Circle,164,2/22/2023,1445
Raton,US-NM,CN-65,41 International Junction,6352,6/5/2022,
Atlantic City,US-NJ,YE-BA,99311 Dorton Terrace,8,7/5/2022,
Drayton Valley,CA-AB,ID-SB,2 Lakewood Circle,2776,9/27/2022,18
,PG-MPL,ES-AN,8 Dovetail Way,4700,3/2/2023,112
,AU-WA,US-OR,0881 Michigan Circle,1750,8/4/2022,2437
Aitutaki,CK-U-A,CN-15,43014 Clove Terrace,14,12/22/2022,2925
Jiwani,PK-BA,LR-MY,059 Loomis Junction,186,1/31/2023,20
Augusta,US-GA,MZ-I,2 Acker Crossing,423,12/12/2022,30
Doha,QA-DA,US-CA,49 Rigney Hill,35,9/23/2022,155
Waco,US-TX,KI-G,63 Londonderry Pass,516,11/27/2022,
Puerto Limon,CR-L,SA-04,28852 Forest Run Park,7,5/23/2022,26
Brazoria,US-TX,AU-NSW,7 Moland Park,15,5/22/2022,31
Martha's Vineyard,US-MA,CN-44,431 Kennedy Place,67,8/24/2022,125
Masalembo Island,ID-JI,US-OR,9 Darwin Hill,30,12/12/2022,459
Mengomeyén,GQ-WN,US-OR,3 Delladonna Plaza,2165,12/5/2022,17
Tunis,TN-11,IR-01,600 Donald Alley,22,7/21/2022,4459
Toronto,CA-ON,TO-01,78567 Charing Cross Crossing,252,10/2/2022,325
Owerri,NG-IM,PL-PK,62867 Cardinal Park,373,9/28/2022,675
Zoersel,BE-VAN,MR-12,64 Blackbird Drive,53,7/7/2022,403
Rawson,AR-U,US-AK,75337 Scofield Plaza,141,5/26/2022,302
Abuja,NG-FC,BR-RS,5907 Roth Park,1123,1/22/2023,459
Abilene,US-TX,IT-88,628 Loomis Way,1789,3/8/2023,100
Rouyn-Noranda,CA-QC,GB-ENG,8 Lotheville Junction,988,9/18/2022,55
Tonopah,US-NV,IR-08,119 Wayridge Street,5549,1/2/2023,6723
Labuha-Halmahera Island,ID-MU,CN-44,836 Oakridge Trail,49,6/25/2022,13
Ajmer,IN-RJ,US-NH,22 Esker Way,,7/2/2022,545
Campbell River,CA-BC,US-MO,90615 Banding Pass,346,8/11/2022,1148
Cleveland,US-OH,IT-88,3066 Hallows Point,583,3/17/2023,100
Chattanooga,US-TN,GB-SCT,69 Schiller Circle,683,10/6/2022,263
Goba,ET-OR,US-MN,5 Fordem Park,7892,11/12/2022,1183
Washington,US-DC,TR-01,0 Forest Run Court,20,12/7/2022,238
San Juan,AR-J,US-MS,1900 Longview Trail,1958,2/11/2023,320
Bitam,GA-9,US-TX,74 Oakridge Way,1969,12/22/2022,644
Alexandroupolis,GR-71,US-SC,21322 Spohn Alley,24,10/16/2022,364
Utirik Island,MH-UTI,DE-NW,7 Harbort Lane,4,8/20/2022,236
Mirassol,BR-SP,IN-NL,81 Lakewood Pass,1916,2/19/2023,487
Chongqing,CN-50,AR-B,720 Havey Terrace,1365,10/18/2022,262
Alice,US-TX,RU-YAN,623 Westerfield Plaza,178,9/23/2022,46
Lamidanda,NP-SA,CA-AB,4497 Everett Way,4100,9/8/2022,2193
Stella Maris,BS-LI,US-IL,680 Pankratz Park,10,4/18/2023,411
Bryan,US-TX,AU-WA,6290 Thompson Junction,367,12/24/2022,233
Charlottetown,CA-PE,US-NC,5 Evergreen Parkway,160,6/29/2022,12
Concord,US-NH,BO-C,7 Autumn Leaf Alley,342,2/12/2023,875
,AU-QLD,CA-ON,2848 Mesta Avenue,,12/25/2022,591
Bavannur,CN-15,IN-KA,90 Waubesa Street,3400,5/4/2022,30
Wau,SS-14,BR-MG,6434 Moose Point,1529,5/12/2022,3094
Fort Eustis,US-VA,AU-WA,03 Kipling Center,12,2/23/2023,1073
Angola,US-IN,FJ-W,7 Beilfuss Park,995,12/3/2022,156
Nanaimo,CA-BC,PF-U-A,58419 Kedzie Drive,92,9/13/2022,12
Lyons,US-KS,CU-11,61177 Eastwood Hill,1691,1/23/2023,16
Reims/Champagne,FR-G,US-CA,3 Prairie Rose Pass,312,4/11/2023,5284
Dilasag,PH-AUR,AU-QLD,038 Gale Parkway,60,12/3/2022,15
Colombo,LK-1,US-MT,92 Petterle Plaza,0,9/2/2022,4660
Lapu-Lapu City,PH-CEB,FR-L,49 Express Park,31,10/26/2022,1300
,MG-D,IN-JK,9545 Monument Lane,20,7/22/2022,1029
Hamilton,BM-U-A,US-LA,6 Garrison Avenue,12,3/14/2023,10
Yan'an,CN-61,CA-MB,70043 Ludington Point,3100,11/10/2022,1170
La Tabatière,CA-QC,CA-ON,9 Reindahl Parkway,102,6/10/2022,652
,IN-PB,PE-MDD,8 Homewood Drive,662,6/22/2022,797
Sulaymaniyah,IQ-SW,CA-ON,71 Bluejay Park,2494,3/20/2023,594
Craig,US-AK,GA-9,9 Onsgard Center,,8/4/2022,1969
Eilat,IL-D,IN-BR,754 Becker Street,288,12/29/2022,170
,AU-QLD,US-CO,65 Fallview Junction,542,2/21/2023,5916
,JP-03,SY-DY,0 Melby Plaza,297,3/7/2023,1278
Benson,GB-ENG,US-CA,791 Londonderry Park,226,6/28/2022,719
Ninglang,CN-53,GY-PT,33 Dwight Road,10804,10/11/2022,1797
Kalibo,PH-AKL,ML-2,7 Shasta Place,14,9/10/2022,889
Hobart,AU-TAS,US-AK,9 Granby Plaza,13,11/16/2022,0
,IN-AS,CU-14,7123 Brickson Park Crossing,240,3/14/2023,3
Nuku,PG-SAN,AO-UIG,5 Randy Plaza,870,3/5/2023,4105
Cayo Santa Maria,CU-07,HK-U-A,0 Cardinal Drive,13,5/15/2022,28
Ponta do Ouro,MZ-L,CL-LL,71 Hintze Crossing,92,2/22/2023,528
Traverse City,US-MI,GB-SCT,251 Talmadge Drive,624,1/13/2023,126
Mount Clemens,US-MI,FR-V,4231 Glendale Avenue,580,11/5/2022,779
Lake Charles,US-LA,NO-18,2 Sauthoff Junction,15,11/6/2022,42
Tolú,CO-SUC,GA-3,5 Elgar Circle,16,1/26/2023,164
Valledupar,CO-CES,IR-03,77 Mosinee Hill,483,10/8/2022,4315
Shaw River,AU-WA,MX-SON,27083 Tomscot Point,,8/24/2022,627
Oriximiná,BR-PA,CM-EN,613 Burrows Avenue,287,4/28/2022,1276
Bellavista,PE-SAM,GU-U-A,129 Heffernan Road,980,7/14/2022,627
Healy Lake,US-AK,PG-MPL,9 Hintze Junction,1180,8/20/2022,5950
Bazaruto Island,MZ-I,GY-PT,3 Spaight Pass,,7/10/2022,1797
Bathurst,AU-NSW,AU-WA,4 Barnett Parkway,2435,10/1/2022,181
Mandora,AU-WA,US-MO,136 Harper Park,,2/1/2023,946
Basongo,CD-KW,AU-NT,38454 Sunfield Road,1640,12/28/2022,2205
Teresina,BR-PI,MG-D,48692 Debra Park,219,1/5/2023,19
Manitowaning,CA-ON,DE-HH,85663 Roxbury Plaza,869,4/26/2022,53
Silur Mission,PG-NIK,US-CA,30510 5th Park,217,4/17/2023,442
Waskaganish,CA-QC,GB-SCT,2 Iowa Court,80,6/18/2022,150
,AU-NT,US-CA,98502 Dovetail Avenue,,12/3/2022,2527
Freetown,SL-N,PG-MPM,8 Southridge Terrace,84,6/2/2022,26
Komaio,PG-GPK,US-GA,2235 Lerdahl Circle,28,12/6/2022,41
Rimatara Island,PF-U-A,CA-NU,443 Loomis Street,60,10/31/2022,146
Kilkenny,IE-KK,CA-AB,997 Red Cloud Crossing,319,10/30/2022,2776
Coeur d'Alene,US-ID,GQ-AN,82002 Lunder Park,2320,11/30/2022,82
Taiyuan,CN-14,IN-ML,95 Bellgrove Crossing,2575,8/22/2022,2910
Quepos,CR-P,AU-QLD,727 Memorial Center,85,4/30/2022,
Circle,US-AK,CO-HUI,76 Bunting Lane,613,7/25/2022,6017
Sabetta,RU-YAN,US-AK,241 Luster Point,46,5/24/2022,15
Tenerife Island,ES-CN,CA-QC,69 Trailsway Place,2076,1/25/2023,244
Pilot Station,US-AK,MN-065,3824 Nelson Terrace,305,9/21/2022,7260
Kotlas,RU-ARK,IQ-SD,34 Swallow Crossing,184,12/29/2022,161
Kaunas,LT-KU,CN-36,1 Moland Way,256,3/22/2023,281
Sheghnan,AF-BDS,AR-R,3246 Dawn Center,6700,1/17/2023,1026
,PF-U-A,CN-21,716 Lake View Center,10,11/27/2022,568
Patuxent River,US-MD,GB-SCT,6288 Fremont Crossing,39,7/18/2022,17
Novato,US-CA,BO-S,10 Coolidge Pass,2,5/1/2022,1371
Silver Plains,AU-QLD,SO-JH,7219 Nobel Hill,48,6/22/2022,49
Batticaloa,LK-5,NG-RI,980 6th Road,20,7/18/2022,57
Hampton,US-IA,PG-CPM,210 Erie Street,1176,7/29/2022,58
Serui-Japen Island,ID-PA,JP-13,817 Scofield Circle,50,9/1/2022,67
Matthews Ridge,GY-BA,MG-T,20845 Westerfield Road,324,10/26/2022,4198
Cape Lisburne,US-AK,US-MI,9051 Glendale Court,16,8/31/2022,794
Vientiane,LA-VT,UA-43,7948 Red Cloud Road,564,8/29/2022,639
Overberg,ZA-WC,GN-N,231 Dapin Place,52,9/19/2022,1657
Macon,US-GA,VE-Y,07 Forster Plaza,437,9/1/2022,25
Jonesboro,US-AR,US-CA,38086 Commercial Avenue,262,3/28/2023,155
Monrovia,LR-MO,ZA-NP,34 Cherokee Parkway,25,10/1/2022,1904
Bigatyelang Island,MH-ALL,MY-15,86 Derek Pass,16,10/5/2022,101
Dansville,US-NY,VU-PAM,9 Calypso Junction,662,3/28/2023,151
Kaimana-Papua Island,ID-PB,FI-OL,11 Bobwhite Trail,19,6/2/2022,866
Portage la Prairie,CA-MB,SG-04,3 Walton Center,885,8/14/2022,22
Annette,US-AK,BR-SC,4969 Steensland Park,119,1/2/2023,3065
Gabala,AZ-QAB,PL-LB,26005 4th Alley,935,7/12/2022,194
Banda-Naira Island,ID-MA,CL-AR,59 Barby Junction,100,9/6/2022,1148
São Miguel Arcanjo,BR-SP,US-MO,30 Village Green Point,2271,12/24/2022,463
Conklin,CA-AB,AU-SA,547 Green Ridge Point,1930,3/6/2023,
Borba,BR-AM,IN-AS,08063 Donald Pass,293,10/15/2022,131
Shishmaref,US-AK,CL-LL,698 Arrowood Park,12,3/7/2023,528
Kalibo,PH-AKL,AM-ER,5 Stephen Drive,14,4/19/2023,2838
Bagotville,CA-QC,NO-18,886 Memorial Park,522,8/22/2022,237
Santa Cruz da Graciosa,PT-20,PS-RFH,23549 Bartillon Crossing,86,1/15/2023,320
Jeddah,SA-02,TD-TA,2 Derek Crossing,48,12/18/2022,1171
Baler,PH-AUR,MN-041,01 Bowman Road,108,4/27/2022,4272
Belfast,GB-NIR,MH-MAL,54 Northfield Drive,15,7/7/2022,
Puerto Putumayo,EC-U,US-NE,3 Briar Crest Road,733,12/13/2022,2131
Boulsa,BF-NAM,US-GA,14287 Thompson Drive,984,1/5/2023,943
Piedras,CO-TOL,IT-34,354 Green Lane,2192,5/21/2022,4213
Eureka,US-NV,FJ-W,5 Summit Road,5954,3/17/2023,12
Perryville,US-AK,AR-M,1631 Mcbride Hill,29,3/28/2023,2310
Ablow,VU-TOB,US-AK,8387 Westridge Crossing,63,8/18/2022,18
Sylvester,US-GA,US-MO,201 Nelson Road,403,3/30/2023,331
Valdez,US-AK,CA-QC,555 David Pass,121,4/22/2023,172
Tanjung Pinang-Bintan Island,ID-RI,US-OK,8464 Daystar Trail,52,11/8/2022,1300
Ust-Nera,RU-SA,NZ-WGN,94 Lillian Plaza,1805,6/30/2022,364
Sfax,TN-61,KR-42,85 Welch Terrace,85,1/30/2023,241
Birch Creek,US-AK,BF-BLG,414 American Ash Lane,450,11/17/2022,1017
Éléonore Mine,CA-QC,SS-14,14832 Bultman Point,692,1/29/2023,1529
New York,US-NY,US-AK,79033 Holy Cross Court,21,3/26/2023,18
Niort/Souché,FR-T,CA-ON,730 Packers Center,203,8/5/2022,460
Iginniarfik,GL-U-A,US-NY,38 Eagle Crest Street,50,7/3/2022,
Altoona,US-PA,KI-G,2 Pepper Wood Lane,1503,7/21/2022,
Lázaro Cárdenas,MX-MIC,US-GA,6162 Mcguire Alley,39,6/1/2022,142
Sabang-We Island,ID-AC,PG-MPL,83 Oxford Street,393,1/8/2023,4200
Digby,CA-NS,US-CO,43 Larry Park,499,12/10/2022,7680
Victoria,CA-BC,US-AZ,895 Summit Center,,11/20/2022,5153
Fatima Mission,PG-CPM,MX-JAL,89 Grasskamp Alley,5200,8/7/2022,23
,CH-BE,PH-NEC,655 Macpherson Road,,2/9/2023,82
Lethem,GY-UT,GL-U-A,3 Sachtjen Circle,351,12/3/2022,53
Parsabad,IR-03,CN-23,2 Banding Pass,251,1/29/2023,457
Cali,CO-VAC,JM-09,868 Lawn Plaza,3162,10/25/2022,9
Frankfurt am Main,DE-RP,US-NC,1278 Paget Junction,1649,2/25/2023,1190
Atlanta,US-GA,PR-U-A,19144 Waywood Point,1003,4/9/2023,64
Tucumã,BR-PA,CA-MB,83 Park Meadow Way,1060,1/17/2023,663
Terrace,CA-BC,GL-U-A,5 Kenwood Trail,713,2/11/2023,165
Black Tickle,CA-NL,AU-WA,11 Oriole Point,57,10/10/2022,
Mbuji Mayi,CD-KE,US-MN,44 Old Shore Plaza,2221,1/30/2023,1317
Maputo,MZ-MPM,SB-WE,883 5th Street,145,4/4/2023,13
Rockwood,US-TN,CA-AB,09 Carpenter Lane,1664,5/10/2022,3350
Port Alexander,US-AK,PA-KY,2 Petterle Alley,,9/22/2022,17
Cancún,MX-ROO,US-PA,2523 Memorial Trail,22,11/27/2022,732
Soroti,UG-211,IS-7,17 Miller Lane,3697,10/4/2022,80
Lissadell Station,AU-WA,CN-22,92021 Hanson Street,374,10/9/2022,459
,IN-HR,CO-CAS,51397 Cambridge Lane,700,1/24/2023,495
Akrotiri,GB-U-A,PL-PK,9869 Thackeray Circle,76,9/27/2022,675
Le Puy/Loudes,FR-C,PG-JI,020 Thackeray Circle,2731,1/20/2023,5150
